IntensityIn IntensityOut Luminance
4.542124542124541947e-02 2.980392156862745057e-01 2.314333333333333087e+01
4.664224664224664307e-02 3.019607843137254721e-01 2.412666666666666515e+01
4.859584859584859667e-02 3.058823529411764941e-01 2.464000000000000057e+01
4.957264957264957000e-02 3.098039215686274606e-01 2.558333333333333215e+01
5.152625152625152360e-02 3.137254901960784270e-01 2.610666666666666558e+01
5.250305250305250387e-02 3.176470588235293935e-01 2.713666666666666671e+01
5.470085470085470081e-02 3.215686274509803599e-01 2.803999999999999559e+01
5.641025641025641107e-02 3.254901960784313819e-01 2.883999999999999986e+01
5.811965811965812134e-02 3.294117647058823484e-01 2.975000000000000000e+01
5.982905982905983161e-02 3.333333333333333148e-01 3.079666666666666686e+01
6.202686202686202854e-02 3.372549019607843368e-01 3.225000000000000000e+01
6.495726495726496241e-02 3.411764705882353033e-01 3.256666666666666288e+01
6.544566544566544908e-02 3.450980392156862697e-01 3.376666666666665861e+01
6.788766788766788240e-02 3.490196078431372362e-01 3.462000000000000455e+01
6.959706959706959961e-02 3.529411764705882026e-01 3.536666666666666714e+01
7.106227106227105961e-02 3.568627450980392246e-01 3.641000000000000369e+01
7.326007326007326348e-02 3.607843137254901911e-01 3.742666666666666941e+01
7.521367521367521014e-02 3.647058823529411575e-01 3.932666666666666089e+01
7.912087912087911734e-02 3.686274509803921795e-01 3.960666666666666202e+01
7.960927960927960401e-02 3.725490196078431460e-01 4.067999999999999972e+01
8.180708180708180788e-02 3.764705882352941124e-01 4.265999999999999659e+01
8.571428571428571508e-02 3.803921568627450789e-01 4.325000000000000000e+01
8.693528693528693174e-02 3.843137254901960453e-01 4.429999999999999005e+01
8.913308913308913561e-02 3.882352941176470673e-01 4.531000000000000227e+01
9.108669108669108228e-02 3.921568627450980338e-01 4.646666666666666146e+01
9.352869352869352948e-02 3.960784313725490002e-01 4.863999999999999346e+01
9.792429792429792335e-02 4.000000000000000222e-01 4.912000000000000455e+01
9.890109890109889668e-02 4.039215686274509887e-01 5.011333333333333684e+01
1.008547008547008572e-01 4.078431372549019551e-01 5.237999999999999545e+01
1.052503052503052511e-01 4.117647058823529216e-01 5.364999999999999858e+01
1.079365079365079416e-01 4.156862745098038880e-01 5.440333333333333599e+01
1.094017094017094016e-01 4.196078431372549100e-01 5.625999999999999801e+01
1.130647130647130655e-01 4.235294117647058765e-01 5.685333333333333172e+01
1.142857142857142821e-01 4.274509803921568429e-01 5.879999999999999005e+01
1.181929181929181893e-01 4.313725490196078649e-01 5.955000000000000426e+01
1.196581196581196632e-01 4.352941176470588314e-01 6.079666666666667396e+01
1.223443223443223399e-01 4.392156862745097978e-01 6.274000000000000199e+01
1.262515262515262471e-01 4.431372549019607643e-01 6.485999999999999943e+01
1.304029304029304115e-01 4.470588235294117307e-01 6.550000000000000000e+01
1.316239316239316282e-01 4.509803921568627527e-01 6.681666666666666288e+01
1.343101343101343048e-01 4.549019607843137192e-01 6.859666666666667822e+01
1.379731379731379826e-01 4.588235294117646856e-01 6.954999999999999716e+01
1.399267399267399292e-01 4.627450980392157076e-01 7.116000000000001080e+01
1.431013431013430925e-01 4.666666666666666741e-01 7.321333333333332405e+01
1.472527472527472570e-01 4.705882352941176405e-01 7.533666666666665890e+01
1.514041514041513936e-01 4.745098039215686070e-01 7.689333333333333087e+01
1.545787545787545847e-01 4.784313725490195734e-01 7.862333333333333485e+01
1.582417582417582347e-01 4.823529411764705954e-01 7.928666666666667595e+01
1.594627594627594513e-01 4.862745098039215619e-01 8.207333333333332348e+01
1.650793650793650758e-01 4.901960784313725283e-01 8.294333333333332803e+01
1.667887667887667791e-01 4.941176470588235503e-01 8.450000000000000000e+01
1.699633699633699702e-01 4.980392156862745168e-01 8.625666666666666060e+01
1.733821733821733768e-01 5.019607843137254832e-01 8.829000000000000625e+01
1.775335775335775412e-01 5.098039215686274161e-01 9.022666666666667368e+01
1.814407814407814346e-01 5.137254901960783826e-01 9.225000000000000000e+01
1.855921855921855990e-01 5.176470588235293491e-01 9.344666666666667254e+01
1.880341880341880323e-01 5.215686274509804266e-01 9.506333333333333258e+01
1.912087912087911956e-01 5.254901960784313930e-01 9.667999999999999261e+01
1.943833943833943867e-01 5.294117647058823595e-01 9.948333333333333428e+01
2.000000000000000111e-01 5.333333333333333259e-01 1.004333333333333371e+02
2.019536019536019578e-01 5.372549019607842924e-01 1.022999999999999972e+02
2.058608058608058511e-01 5.411764705882352589e-01 1.042333333333333343e+02
2.095238095238095288e-01 5.450980392156862253e-01 1.078333333333333286e+02
2.168498168498168566e-01 5.490196078431373028e-01 1.096666666666666714e+02
2.205128205128205066e-01 5.529411764705882693e-01 1.106333333333333258e+02
2.224664224664224532e-01 5.568627450980392357e-01 1.132999999999999972e+02
2.278388278388278343e-01 5.607843137254902022e-01 1.149333333333333371e+02
2.312576312576312687e-01 5.647058823529411686e-01 1.162000000000000028e+02
2.336996336996337020e-01 5.686274509803921351e-01 1.185000000000000000e+02
2.383394383394383254e-01 5.725490196078431016e-01 1.212999999999999972e+02
2.439560439560439498e-01 5.764705882352940680e-01 1.226666666666666714e+02
2.466422466422466542e-01 5.803921568627450345e-01 1.255333333333333172e+02
2.525030525030524942e-01 5.843137254901961120e-01 1.277333333333333343e+02
2.568986568986568741e-01 5.882352941176470784e-01 1.295333333333333314e+02
2.605616605616605796e-01 5.921568627450980449e-01 1.314333333333333371e+02
2.642246642246642296e-01 5.960784313725490113e-01 1.340333333333333314e+02
2.695970695970695830e-01 5.999999999999999778e-01 1.359666666666666686e+02
2.735042735042735318e-01 6.039215686274509443e-01 1.391666666666666572e+02
2.798534798534798584e-01 6.078431372549019107e-01 1.409000000000000057e+02
2.832722832722832651e-01 6.117647058823529882e-01 1.434000000000000057e+02
2.884004884004883751e-01 6.156862745098039547e-01 1.468666666666666458e+02
2.954822954822954872e-01 6.196078431372549211e-01 1.494666666666666686e+02
3.006105006105005972e-01 6.235294117647058876e-01 1.513333333333333428e+02
3.042735042735042472e-01 6.274509803921568540e-01 1.534666666666666686e+02
3.086691086691086827e-01 6.313725490196078205e-01 1.550000000000000000e+02
3.118437118437118460e-01 6.352941176470587870e-01 1.573666666666666742e+02
3.164835164835164694e-01 6.392156862745097534e-01 1.615999999999999943e+02
3.250305250305250415e-01 6.431372549019607199e-01 1.632999999999999829e+02
3.284493284493284482e-01 6.470588235294117974e-01 1.659000000000000057e+02
3.335775335775335582e-01 6.509803921568627638e-01 1.686333333333333258e+02
3.391941391941392103e-01 6.549019607843137303e-01 1.707999999999999829e+02
3.435897435897435903e-01 6.588235294117646967e-01 1.740000000000000000e+02
3.499389499389499170e-01 6.627450980392156632e-01 1.761666666666666572e+02
3.543345543345543525e-01 6.666666666666666297e-01 1.797000000000000171e+02
3.614163614163614091e-01 6.705882352941175961e-01 1.809666666666666970e+02
3.638583638583638424e-01 6.745098039215686736e-01 1.847333333333333485e+02
3.714285714285714413e-01 6.784313725490196401e-01 1.884333333333333087e+02
3.789987789987789846e-01 6.823529411764706065e-01 1.894666666666666686e+02
3.809523809523809312e-01 6.862745098039215730e-01 1.923666666666666742e+02
3.868131868131868267e-01 6.901960784313725394e-01 1.955333333333333314e+02
3.931623931623931534e-01 6.941176470588235059e-01 1.986333333333333258e+02
3.995115995115995355e-01 6.980392156862744724e-01 2.013000000000000398e+02
4.048840048840048889e-01 7.019607843137254388e-01 2.053999999999999773e+02
4.131868131868131622e-01 7.058823529411764053e-01 2.064000000000000057e+02
4.151404151404151643e-01 7.098039215686274828e-01 2.116333333333333258e+02
4.256410256410256276e-01 7.137254901960784492e-01 2.132333333333333485e+02
4.288156288156287910e-01 7.176470588235294157e-01 2.164000000000000057e+02
4.351648351648351731e-01 7.215686274509803821e-01 2.185999999999999943e+02
4.395604395604395531e-01 7.254901960784313486e-01 2.238666666666666742e+02
4.503052503052503153e-01 7.294117647058823151e-01 2.247000000000000171e+02
4.520146520146520186e-01 7.333333333333332815e-01 2.279000000000000057e+02
4.583638583638583452e-01 7.372549019607843590e-01 2.309333333333333087e+02
4.644688644688644841e-01 7.411764705882353255e-01 2.357999999999999829e+02
4.742368742368742174e-01 7.450980392156862919e-01 2.377333333333333485e+02
4.781440781440781662e-01 7.490196078431372584e-01 2.404666666666666686e+02
4.835164835164835195e-01 7.529411764705882248e-01 2.443000000000000398e+02
4.913308913308913062e-01 7.568627450980391913e-01 2.473000000000000398e+02
4.974358974358974450e-01 7.607843137254901578e-01 2.525000000000000000e+02
5.079365079365079083e-01 7.647058823529411242e-01 2.538333333333333428e+02
5.106227106227105850e-01 7.686274509803920907e-01 2.583333333333333144e+02
5.196581196581196993e-01 7.725490196078431682e-01 2.622000000000000455e+02
5.272283272283272426e-01 7.764705882352941346e-01 2.654333333333333371e+02
5.338217338217338126e-01 7.803921568627451011e-01 2.667666666666666515e+02
5.365079365079364893e-01 7.843137254901960675e-01 2.702333333333333485e+02
5.435897435897435459e-01 7.882352941176470340e-01 2.752333333333333485e+02
5.536019536019536336e-01 7.921568627450980005e-01 2.789333333333333371e+02
5.609279609279609335e-01 7.960784313725489669e-01 2.816666666666666856e+02
5.665445665445665302e-01 8.000000000000000444e-01 2.845000000000000000e+02
5.721611721611721268e-01 8.039215686274510109e-01 2.904333333333333371e+02
5.841269841269841612e-01 8.078431372549019773e-01 2.914333333333333371e+02
5.860805860805861078e-01 8.117647058823529438e-01 2.953000000000000114e+02
5.938949938949938945e-01 8.156862745098039102e-01 3.002333333333333485e+02
6.039072039072038711e-01 8.196078431372548767e-01 3.032666666666666515e+02
6.100122100122100655e-01 8.235294117647058432e-01 3.060333333333333599e+02
6.153846153846154188e-01 8.274509803921568096e-01 3.091333333333333826e+02
6.217338217338217454e-01 8.313725490196077761e-01 3.132333333333332916e+02
6.300366300366300187e-01 8.352941176470588536e-01 3.175333333333333030e+02
6.385836385836385354e-01 8.392156862745098200e-01 3.221666666666666856e+02
6.478632478632478930e-01 8.431372549019607865e-01 3.241333333333333826e+02
6.520146520146520297e-01 8.470588235294117530e-01 3.279666666666666970e+02
6.595848595848595730e-01 8.509803921568627194e-01 3.328999999999999773e+02
6.695970695970695497e-01 8.549019607843136859e-01 3.374999999999999432e+02
6.788766788766789073e-01 8.588235294117646523e-01 3.393000000000000114e+02
6.822954822954823140e-01 8.627450980392157298e-01 3.438666666666666174e+02
6.915750915750915606e-01 8.666666666666666963e-01 3.471999999999999886e+02
6.984126984126983739e-01 8.705882352941176627e-01 3.529666666666666970e+02
7.098901098901099216e-01 8.745098039215686292e-01 3.547333333333333485e+02
7.135531135531135716e-01 8.784313725490195957e-01 3.585000000000000000e+02
7.211233211233211149e-01 8.823529411764705621e-01 3.651666666666666856e+02
7.345543345543346092e-01 8.862745098039215286e-01 3.676999999999999886e+02
7.394383394383394759e-01 8.901960784313724950e-01 3.716333333333333826e+02
7.474969474969475058e-01 8.941176470588234615e-01 3.761666666666666856e+02
7.565323565323565091e-01 8.980392156862745390e-01 3.789000000000000341e+02
7.621489621489621058e-01 9.019607843137255054e-01 3.831999999999999886e+02
7.706959706959707335e-01 9.058823529411764719e-01 3.881999999999999886e+02
7.807081807081807101e-01 9.098039215686274384e-01 3.930000000000000000e+02
7.904761904761904434e-01 9.137254901960784048e-01 3.953666666666666174e+02
7.951159951159950667e-01 9.176470588235293713e-01 3.996999999999999886e+02
8.039072039072039377e-01 9.215686274509803377e-01 4.033666666666666174e+02
8.112332112332112377e-01 9.254901960784314152e-01 4.083666666666666174e+02
8.212454212454212144e-01 9.294117647058823817e-01 4.129000000000000341e+02
8.305250305250305720e-01 9.333333333333333481e-01 4.161333333333333826e+02
8.368742368742368987e-01 9.372549019607843146e-01 4.232666666666666515e+02
8.512820512820512553e-01 9.411764705882352811e-01 4.268999999999999204e+02
8.586080586080585553e-01 9.450980392156862475e-01 4.317333333333333485e+02
8.683760683760683996e-01 9.490196078431372140e-01 4.361999999999999886e+02
8.774114774114774029e-01 9.529411764705881804e-01 4.402333333333333485e+02
8.854700854700854329e-01 9.568627450980391469e-01 4.430000000000000000e+02
8.910866910866911406e-01 9.607843137254902244e-01 4.472666666666667084e+02
